FreqPair,Paired,Comparison,Test,Statistic,p_value
10 Hz (S: 10),True,Non-responder: t0 vs t2,Wilcoxon signed-rank,24.0,0.74609375
10 Hz (S: 10),True,Responder: t0 vs t2,Wilcoxon signed-rank,67.0,0.16495704650878906
10 Hz (S: 10),False,Non-responder vs Responder at t0,Mann-Whitney U,136.0,0.11772267574331309
10 Hz (S: 10),False,Non-responder vs Responder at t2,Mann-Whitney U,128.0,0.22556505491803525
12 Hz (S: 6),True,Non-responder: t0 vs t2,Wilcoxon signed-rank,24.0,0.75
12 Hz (S: 6),True,Responder: t0 vs t2,Wilcoxon signed-rank,92.0,0.6476554870605469
12 Hz (S: 6),False,Non-responder vs Responder at t0,Mann-Whitney U,88.0,0.6123100159147078
12 Hz (S: 6),False,Non-responder vs Responder at t2,Mann-Whitney U,136.0,0.11772267574331309
18 Hz (S: 6),True,Non-responder: t0 vs t2,Wilcoxon signed-rank,27.0,0.9765625
18 Hz (S: 6),True,Responder: t0 vs t2,Wilcoxon signed-rank,79.0,0.34881019592285156
18 Hz (S: 6),False,Non-responder vs Responder at t0,Mann-Whitney U,92.0,0.7410162025277504
18 Hz (S: 6),False,Non-responder vs Responder at t2,Mann-Whitney U,100.0,1.0
20 Hz (S: 10),True,Non-responder: t0 vs t2,Wilcoxon signed-rank,18.0,0.361328125
20 Hz (S: 10),True,Responder: t0 vs t2,Wilcoxon signed-rank,80.0,0.36827659606933594
20 Hz (S: 10),False,Non-responder vs Responder at t0,Mann-Whitney U,76.0,0.30039275419063316
20 Hz (S: 10),False,Non-responder vs Responder at t2,Mann-Whitney U,108.0,0.7410162025277504
20 Hz (S: 20),True,Non-responder: t0 vs t2,Wilcoxon signed-rank,21.0,0.541015625
20 Hz (S: 20),True,Responder: t0 vs t2,Wilcoxon signed-rank,66.0,0.15364646911621094
20 Hz (S: 20),False,Non-responder vs Responder at t0,Mann-Whitney U,124.0,0.30039275419063316
20 Hz (S: 20),False,Non-responder vs Responder at t2,Mann-Whitney U,120.0,0.3901636536175811
24 Hz (S: 6),True,Non-responder: t0 vs t2,Wilcoxon signed-rank,19.0,0.416015625
24 Hz (S: 6),True,Responder: t0 vs t2,Wilcoxon signed-rank,81.0,0.38837623596191406
24 Hz (S: 6),False,Non-responder vs Responder at t0,Mann-Whitney U,100.0,1.0
24 Hz (S: 6),False,Non-responder vs Responder at t2,Mann-Whitney U,112.0,0.6123100159147078
30 Hz (S: 10),True,Non-responder: t0 vs t2,Wilcoxon signed-rank,22.0,0.603515625
30 Hz (S: 10),True,Responder: t0 vs t2,Wilcoxon signed-rank,80.0,0.36827659606933594
30 Hz (S: 10),False,Non-responder vs Responder at t0,Mann-Whitney U,128.0,0.22556505491803525
30 Hz (S: 10),False,Non-responder vs Responder at t2,Mann-Whitney U,120.0,0.3901636536175811
30 Hz (S: 6),True,Non-responder: t0 vs t2,Wilcoxon signed-rank,4.0,0.013671875
30 Hz (S: 6),True,Responder: t0 vs t2,Wilcoxon signed-rank,94.0,0.7011814117431641
30 Hz (S: 6),False,Non-responder vs Responder at t0,Mann-Whitney U,72.0,0.22556505491803525
30 Hz (S: 6),False,Non-responder vs Responder at t2,Mann-Whitney U,144.0,0.055244793850490984
36 Hz (S: 6),True,Non-responder: t0 vs t2,Wilcoxon signed-rank,26.0,0.90234375
36 Hz (S: 6),True,Responder: t0 vs t2,Wilcoxon signed-rank,104.0,0.9854354858398438
36 Hz (S: 6),False,Non-responder vs Responder at t0,Mann-Whitney U,112.0,0.6123100159147078
36 Hz (S: 6),False,Non-responder vs Responder at t2,Mann-Whitney U,108.0,0.7410162025277504
40 Hz (S: 10),True,Non-responder: t0 vs t2,Wilcoxon signed-rank,12.0,0.123046875
40 Hz (S: 10),True,Responder: t0 vs t2,Wilcoxon signed-rank,81.0,0.38837623596191406
40 Hz (S: 10),False,Non-responder vs Responder at t0,Mann-Whitney U,96.0,0.8774228430396267
40 Hz (S: 10),False,Non-responder vs Responder at t2,Mann-Whitney U,156.0,0.01445477166049411
40 Hz (S: 20),True,Non-responder: t0 vs t2,Wilcoxon signed-rank,23.0,0.67578125
40 Hz (S: 20),True,Responder: t0 vs t2,Wilcoxon signed-rank,105.0,1.0
40 Hz (S: 20),False,Non-responder vs Responder at t0,Mann-Whitney U,152.0,0.023238679602786933
40 Hz (S: 20),False,Non-responder vs Responder at t2,Mann-Whitney U,128.0,0.22556505491803525
6 Hz (S: 6),True,Non-responder: t0 vs t2,Wilcoxon signed-rank,9.0,0.060546875
6 Hz (S: 6),True,Responder: t0 vs t2,Wilcoxon signed-rank,82.0,0.40909767150878906
6 Hz (S: 6),False,Non-responder vs Responder at t0,Mann-Whitney U,100.0,1.0
6 Hz (S: 6),False,Non-responder vs Responder at t2,Mann-Whitney U,144.0,0.055244793850490984
